url,title,source_domain,crawled_at
https://indianexpress.com/article/business/ahead-of-2026-27-budget-msmes-seek-better-credit-access-safeguards-against-exchange-rate-risks-tariff-shocks-10440506/,"Ahead of 2026-27 Budget: MSMEs seek better credit access, safeguards against exchange rate risks, tariff shocks | Business News - The Indian Express",indianexpress.com,2025-12-27T21:45:46.643474
https://economictimes.indiatimes.com/markets/stocks/news/icici-bank-au-sfb-well-placed-as-credit-cycle-turns-more-disciplined-siddhartha-khemka/articleshow/126199620.cms,"ICICI Bank, AU SFB well-placed as credit cycle turns more disciplined: Siddhartha Khemka - The Economic Times",economictimes.indiatimes.com,2025-12-27T21:45:48.772841
https://indianexpress.com/article/business/companies/adani-cements-consolidation-acc-orient-to-merge-with-ambuja-cements-10433724/,"Adani cements consolidation: ACC, Orient to merge with Ambuja Cements | Business News - The Indian Express",indianexpress.com,2025-12-27T21:45:51.018289
https://indianexpress.com/article/business/alleging-environmental-damage-dutch-nonprofit-files-1-4-billion-euro-claim-against-tata-steel-netherlands-10440335/,"Alleging environmental damage, Dutch nonprofit files 1.4-billion-euro claim against Tata Steel Netherlands | Business News - The Indian Express",indianexpress.com,2025-12-27T21:45:53.679449
https://indianexpress.com/article/business/electronics-signs-chip-deal-with-japan-rohm-10432750/,"Tata Electronics signs chip deal with Japan’s ROHM | Business News - The Indian Express",indianexpress.com,2025-12-27T21:45:56.687309
https://indianexpress.com/article/business/aviation/air-india-express-pilot-assault-passenger-delhi-airport-10430442/,"Passenger alleges assault by Air India Express pilot at Delhi airport; govt orders probe, airline suspends pilot | Business News - The Indian Express",indianexpress.com,2025-12-27T21:45:58.140750
https://economictimes.indiatimes.com/markets/stocks/news/nifty-stalls-near-highs-as-record-low-vix-signals-risk-beneath-calm-markets/articleshow/126202195.cms,"Nifty stalls near highs as record low VIX signals risk beneath calm markets - The Economic Times",economictimes.indiatimes.com,2025-12-27T21:45:59.753141
https://indianexpress.com/article/business/bharti-enterprises-warburg-pincus-acquire-49-stake-haier-india-10437427/,"Bharti Enterprises, Warburg Pincus set to acquire 49% stake in Haier India | Business News - The Indian Express",indianexpress.com,2025-12-27T21:46:02.590083
https://indianexpress.com/article/business/in-6-months-railways-hikes-passenger-fares-again-across-classes-suburban-ticket-rates-unchanged-10431649/,"In 6 months, Railways hikes passenger fares again across classes; suburban ticket rates unchanged | Business News - The Indian Express",indianexpress.com,2025-12-27T21:46:04.744739
https://indianexpress.com/article/business/economy/continued-focus-on-macro-fundamentals-reforms-to-enable-economy-maintain-high-growth-rbis-state-of-economy-article-10433745/,"Continued focus on macro fundamentals, reforms to enable economy to maintain high growth: RBI’s State of The Economy article | Business News - The Indian Express",indianexpress.com,2025-12-27T21:46:06.253351
https://indianexpress.com/article/business/amid-rising-complaints-of-stuck-refunds-income-tax-dept-cites-high-ineligible-claims-asks-taxpayers-to-file-revised-itrs-10435376/,"Amid rising complaints of stuck refunds, Income Tax Dept cites high ineligible claims; asks taxpayers to file revised ITRs | Business News - The Indian Express",indianexpress.com,2025-12-27T21:46:08.214593
https://indianexpress.com/article/business/gdp-growth-likely-to-moderate-with-inflation-nearing-4-rbi-panel-member-10439229/,"GDP growth likely  to moderate with inflation nearing 4%: RBI panel member | Business News - The Indian Express",indianexpress.com,2025-12-27T21:46:10.276347
https://indianexpress.com/article/business/aviation/dgcas-inquiry-committee-probing-indigo-meltdown-submits-report-10440696/,"DGCA’s inquiry committee probing IndiGo meltdown submits report",indianexpress.com,2025-12-27T21:46:12.909505
https://economictimes.indiatimes.com/news/india/india-gets-its-first-standard-for-bomb-disposal-systems-to-boost-security-infrastructure/articleshow/126202649.cms,"India gets its first standard for bomb disposal systems to boost security infrastructure - The Economic Times",economictimes.indiatimes.com,2025-12-27T21:46:15.196349
https://indianexpress.com/article/business/aviation/no-extension-beyond-march-for-indigos-wet-leased-planes-from-turkey-its-turkish-airlines-777s-to-go-back-after-february-10433898/,"No extension beyond March for IndiGo’s wet-leased planes from Turkey; its Turkish Airlines 777s to go back after February | Business News - The Indian Express",indianexpress.com,2025-12-27T21:46:16.651791
https://indianexpress.com/article/business/cea-nageswaran-hits-out-at-gdp-critics-says-no-questions-raised-when-growth-disappoints-10434793/,"CEA Nageswaran on GDP Debate: ‘Critics Stay Silent When Growth Data Disappoints’, Says Chief Economic Adviser",indianexpress.com,2025-12-27T21:46:17.937585
https://economictimes.indiatimes.com/markets/stocks/news/india-set-to-log-record-fii-outflows-as-net-sale-hits-rs-1-58-lakh-crore-in-2025/articleshow/126203214.cms,"India set to log record FII outflows as net sale hits Rs 1.58 lakh crore in 2025 - The Economic Times",economictimes.indiatimes.com,2025-12-27T21:46:20.050545
https://indianexpress.com/article/business/global-ai-models-dont-customise-enough-india-has-opportunity-susan-athey-10432041/,"Global AI models don’t customise enough; India has a big opportunity: Professor Susan Athey | Business News - The Indian Express",indianexpress.com,2025-12-27T21:46:21.835701
https://indianexpress.com/article/business/aviation/air-india-boeing-777-returns-to-delhi-after-pilots-spot-low-engine-oil-pressure-shortly-after-take-off-probe-ordered-10432962/,"Air India Boeing 777 returns to Delhi after pilots spot low engine oil pressure shortly after take-off; probe ordered | Business News - The Indian Express",indianexpress.com,2025-12-27T21:46:23.873514
https://economictimes.indiatimes.com/news/politics-and-nation/pm-modi-single-handedly-destroyed-mgnrega-carried-out-devastating-attack-on-states-rahul-gandhi/articleshow/126204864.cms,"PM Modi single-handedly destroyed MGNREGA, carried out devastating attack on states: Rahul Gandhi - The Economic Times",economictimes.indiatimes.com,2025-12-27T21:46:26.506547
https://indianexpress.com/article/business/india-new-zealand-conclude-fta-talks-amid-continuing-high-us-tariffs-10433020/,"India-New Zealand conclude FTA talks amid continuing high US tariffs | Business News - The Indian Express",indianexpress.com,2025-12-27T21:46:28.536629
https://economictimes.indiatimes.com/news/politics-and-nation/congress-leader-digvijaya-singhs-modi-lk-advani-throwback-photo-praise-for-rss-sets-off-political-storm/articleshow/126204892.cms,"Congress leader Digvijaya Singh’s PM Modi, LK Advani throwback photo, praise for RSS sets off political storm - The Economic Times",economictimes.indiatimes.com,2025-12-27T21:46:31.209034
https://indianexpress.com/article/business/remarkable-change-imf-assessment-indian-statistics-mridul-saggar-10436072/,"‘Sure of remarkable change in IMF’s assessment of Indian statistics’ | Business News - The Indian Express",indianexpress.com,2025-12-27T21:46:32.983230
https://indianexpress.com/article/india/car-stunt-on-snow-laden-mughal-road-all-for-a-reel-traffic-cop-suspended-in-poonch-10442284/,"Car stunt on snow-laden Mughal Road, all for a reel, traffic cop suspended in Poonch | India News - The Indian Express",indianexpress.com,2025-12-27T21:46:35.428279
https://indianexpress.com/article/business/indian-investors-overseas-bets-us-markets-outperform-10435519/,"Indian investors ramp up overseas bets as US markets outperform",indianexpress.com,2025-12-27T21:46:38.133290
https://indianexpress.com/article/business/rrp-semiconductors-stock-price-surges-55000-per-cent-triggering-regulatory-concerns-10430772/,"RRP Semiconductor’s stock price surges 55,000 per cent, triggering regulatory concerns | Business News - The Indian Express",indianexpress.com,2025-12-27T21:46:39.647600
